purchase_number,total_orders,avg_order_amount,avg_days_gap_between_purchases
125,835,20.34,1.06
126,827,20.36,0.93
127,823,19.89,0.85
128,812,20.54,0.75
129,803,19.49,1.16
130,798,19.97,1.18
131,789,19.26,1.01
132,783,20.46,1.6
133,776,20.79,1.07
134,774,19.4,0.79
135,762,19.55,1.25
136,751,19.55,0.72
137,746,20.1,1.09
138,740,22.71,1.26
139,737,20.24,1.34
140,733,18.39,1.31
141,726,18.88,0.65
142,720,17.72,1.25
143,711,17.1,1.13
144,701,19.05,1.81
145,694,18.15,0.77
146,685,23.58,0.86
147,680,20.57,0.59
148,675,21.18,1.02
149,670,19.07,1.07
150,664,20.51,0.72
151,661,21.62,0.72
152,657,21.0,1.27
153,650,20.84,0.56
154,645,20.94,0.55
155,641,22.35,1.03
156,632,19.9,0.41
157,628,21.88,1.02
158,621,21.11,1.03
159,617,21.84,1.17
160,611,18.78,1.07
161,605,21.98,1.11
162,603,23.43,1.21
163,597,22.58,0.93
164,595,22.33,0.51
165,590,27.6,0.35
166,583,22.04,0.66
167,574,19.99,0.69
168,569,23.54,0.78
169,565,21.88,1.05
170,564,21.63,1.04
171,559,19.7,0.7
172,555,20.84,0.9
173,549,19.89,0.87
174,546,18.89,0.73
175,543,19.6,0.85
176,539,21.22,0.77
177,536,20.87,0.73
178,533,23.95,1.01
179,530,19.64,0.88
180,525,18.85,1.18
181,520,20.03,0.79
182,517,21.33,0.41
183,512,22.6,0.74
184,508,22.7,0.96
185,507,24.6,1.01
186,504,24.68,1.02
187,502,21.4,1.22
188,498,22.14,0.8
189,495,26.19,0.94
190,494,24.15,1.3
191,492,27.32,0.74
192,487,24.28,0.85
193,481,27.58,0.88
194,478,21.81,0.57
195,474,28.43,0.66
196,470,29.93,1.22
197,467,25.45,1.22
198,462,24.69,0.72
199,460,25.6,0.81
200,456,23.54,0.52
201,452,19.64,1.61
202,450,18.35,0.71
203,445,18.46,1.25
204,442,20.6,0.39
205,441,22.24,0.9
206,440,20.86,0.61
207,435,22.26,0.46
208,433,19.31,0.56
209,427,22.2,0.84
210,424,20.44,0.69
211,420,20.64,0.41
212,416,19.42,0.84
213,413,21.0,0.51
214,409,21.63,0.45
215,405,18.89,0.91
216,400,17.48,0.55
217,396,20.63,0.69
218,394,17.84,0.69
219,391,20.03,0.58
220,388,18.27,0.56
221,386,19.54,0.91
222,385,18.44,0.58
223,382,23.06,0.68
224,381,20.45,0.52
225,376,22.37,0.88
226,374,26.65,0.72
227,372,26.6,0.79
228,369,26.43,0.51
229,367,31.68,0.7
230,365,23.47,0.61
231,365,26.36,1.57
232,365,26.63,0.82
233,362,33.73,0.88
234,361,28.38,0.79
235,358,38.3,0.18
236,350,25.71,1.05
237,348,23.06,0.2
238,343,21.05,0.7
239,341,23.58,0.87
240,340,17.47,0.6
241,339,19.1,0.27
242,337,18.62,1.91
243,335,24.63,0.79
244,333,24.32,0.81
245,333,28.56,0.82
246,332,21.66,0.87
247,332,19.11,1.21
248,331,18.14,0.79
249,329,18.68,0.24
250,327,19.51,0.6
251,325,20.6,0.69
252,324,18.89,0.73
253,321,17.4,0.98
254,318,18.07,0.53
255,316,18.35,0.57
256,314,18.22,1.13
257,311,23.02,0.56
258,311,21.33,0.74
259,309,18.39,0.18
260,304,19.23,0.69
261,302,18.01,0.41
262,301,19.95,0.54
263,300,19.19,0.36
264,300,19.78,0.65
265,299,19.46,0.72
266,297,17.07,0.66
267,296,21.23,0.67
268,294,20.98,0.75
269,293,22.47,0.45
270,291,20.99,0.45
271,286,24.65,0.34
272,283,23.27,0.65
273,281,20.67,0.68
274,279,20.15,1.65
275,276,19.25,0.96
276,276,19.74,0.29
277,273,31.7,1.14
278,271,17.83,0.71
279,271,19.08,0.33
280,269,18.51,0.95
281,268,16.36,0.81
282,265,21.07,0.75
283,264,22.88,0.63
284,264,19.81,0.65
285,261,16.65,0.69
286,260,19.5,0.72
287,257,21.19,1.13
288,256,18.59,0.89
289,255,19.08,0.52
290,255,17.17,0.76
291,254,21.54,0.17
292,253,20.23,0.41
293,250,24.66,0.56
294,249,18.87,0.42
295,248,21.16,0.72
296,245,17.24,1.02
297,244,15.8,0.4
298,241,18.15,0.79
299,240,18.71,0.79
300,240,23.27,0.48
301,239,20.98,0.88
302,238,22.04,0.71
303,235,24.66,0.45
304,235,23.59,0.34
305,232,20.02,0.33
306,230,21.45,0.38
307,228,26.73,0.34
308,227,22.93,0.63
309,225,19.34,0.44
310,225,20.28,0.62
311,223,24.36,0.55
312,223,19.38,0.34
313,220,20.68,0.36
314,219,23.42,0.52
315,217,22.83,0.2
316,216,19.06,0.12
317,213,18.52,0.58
318,213,29.53,0.38
319,211,25.72,0.08
320,208,18.72,0.33
321,208,21.82,0.07
322,206,19.48,0.08
323,205,24.88,0.53
324,203,24.07,0.67
325,203,16.74,0.57
326,202,18.0,0.55
327,202,18.06,0.69
328,200,21.35,0.15
329,198,19.5,0.22
330,196,20.72,0.22
331,193,22.25,0.35
332,192,18.61,0.36
333,191,19.75,0.61
334,190,19.65,0.37
335,190,23.61,0.22
336,189,23.53,0.66
337,187,19.04,0.49
338,186,20.93,0.72
339,184,21.27,0.57
340,182,19.46,0.96
341,182,19.65,0.44
342,181,23.74,1.2
343,178,21.99,0.9
344,177,21.52,1.38
345,177,20.12,0.72
346,177,21.96,0.89
347,177,22.63,0.69
348,176,27.03,0.16
349,176,25.54,0.11
350,174,21.6,0.35
351,172,19.56,0.17
352,172,18.47,0.83
353,172,17.9,1.02
354,171,20.39,0.22
355,170,42.0,0.12
356,169,39.83,0.44
357,169,35.59,0.57
358,167,39.83,0.5
359,166,32.25,0.93
360,165,40.36,0.14
361,164,40.06,0.31
362,164,21.81,0.64
363,163,24.07,0.39
364,163,20.07,1.18
365,162,17.7,0.59
366,161,16.86,0.94
367,159,18.63,0.0
368,159,19.05,0.58
369,158,21.3,0.65
370,156,19.58,1.03
371,156,24.21,0.41
372,155,21.0,0.12
373,154,21.01,0.85
374,154,19.53,0.74
375,154,17.39,0.25
376,154,20.5,0.42
377,154,22.66,0.21
378,153,18.49,0.18
379,152,22.2,0.37
380,152,18.32,0.37
381,152,21.9,0.39
382,152,23.49,0.42
383,148,21.45,0.95
384,147,17.83,0.27
385,147,18.33,0.3
386,145,23.32,0.48
387,145,16.14,0.5
388,144,16.06,0.97
389,143,16.69,0.19
390,143,22.54,0.04
391,143,23.86,1.03
392,143,19.97,0.95
393,142,22.65,0.64
394,142,24.51,0.26
395,141,24.82,0.39
396,141,24.78,0.51
397,141,17.95,0.0
398,141,21.93,0.16
399,141,19.81,1.08
400,139,18.17,0.9
401,139,30.66,0.21
402,139,19.46,0.59
403,137,19.22,0.68
404,136,24.35,0.51
405,135,23.98,0.77
406,135,21.71,0.4
407,135,18.28,0.95
408,133,19.6,0.38
409,131,18.11,0.08
410,131,16.17,0.29
411,130,17.86,0.23
412,127,18.18,0.27
413,125,23.4,0.29
414,125,19.45,0.36
415,125,16.41,0.03
416,125,19.66,0.06
417,125,17.14,0.44
418,125,17.22,0.1
419,123,18.64,0.08
420,123,24.68,0.51
421,121,25.95,0.93
422,120,43.2,0.01
423,119,26.93,0.39
424,116,28.08,0.15
425,116,24.71,0.39
426,115,19.43,1.05
427,115,22.11,0.12
428,115,19.56,0.23
429,115,19.19,0.51
430,115,23.62,0.34
431,115,20.73,0.84
432,114,22.99,0.53
433,114,20.06,0.0
434,114,17.72,0.65
435,114,17.82,0.22
436,113,15.23,0.95
437,113,14.9,0.41
438,113,13.92,0.29
439,112,13.76,0.36
440,110,13.54,0.13
441,108,11.97,0.31
442,108,14.96,0.04
443,108,17.3,0.31
444,107,16.79,0.1
445,106,16.25,0.23
446,106,20.19,0.97
447,105,17.5,0.45
448,105,13.16,0.12
449,105,18.49,0.16
450,102,19.96,0.1
451,101,14.68,0.73
452,101,13.69,0.2
453,101,11.08,0.21
454,100,16.39,0.09
455,100,15.46,0.92
456,100,15.88,0.39
457,100,16.32,1.1
458,100,12.15,1.31
459,99,13.03,0.0
460,98,12.74,1.36
461,97,14.54,0.0
462,96,17.58,0.28
463,96,20.53,0.0
464,96,21.14,0.26
465,96,14.52,0.0
466,96,14.36,0.62
467,96,19.07,0.4
468,95,20.66,0.17
469,95,23.82,0.24
470,95,19.0,0.09
471,92,15.58,0.76
472,92,14.27,0.14
473,89,14.69,0.26
474,89,18.01,0.03
475,88,17.58,0.0
476,88,18.46,0.27
477,87,16.55,0.52
478,87,21.59,0.2
479,85,16.32,0.67
480,85,19.8,0.16
481,85,11.53,0.0
482,85,14.08,0.12
483,85,14.18,0.36
484,85,17.8,0.05
485,84,18.5,0.01
486,83,22.06,0.29
487,83,15.06,0.28
488,83,17.7,0.11
489,82,21.81,0.05
490,82,21.97,0.44
491,82,18.35,0.13
492,82,15.11,1.04
493,82,17.55,0.0
494,82,26.57,0.6
495,82,14.65,0.0
496,82,17.68,1.05
497,81,17.38,0.89
498,81,18.94,0.0
499,80,18.98,0.0
500,80,17.91,0.24
501,79,18.88,0.41
502,78,18.71,0.17
503,78,15.61,0.0
504,78,18.28,0.99
505,78,17.04,0.71
506,78,24.72,0.24
507,77,21.52,0.0
508,77,20.68,0.06
509,77,30.71,0.32
510,76,14.06,0.41
511,76,25.99,0.04
512,76,16.32,0.17
513,75,15.67,0.0
514,75,19.5,0.44
515,75,24.62,0.16
516,75,23.17,0.4
517,74,26.4,0.09
518,74,19.24,0.0
519,73,21.23,0.96
520,72,19.2,0.57
521,72,20.88,0.07
522,72,21.76,0.0
523,72,19.58,0.15
524,72,20.18,0.0
525,71,25.08,1.0
526,71,23.72,0.17
527,71,25.63,0.56
528,71,25.55,0.13
529,71,16.88,0.24
530,71,23.58,0.32
531,71,20.25,0.07
532,71,20.17,0.28
533,71,17.65,0.04
534,71,19.36,0.0
535,71,20.94,0.15
536,71,30.53,0.0
537,71,33.72,0.32
538,71,17.94,0.0
539,70,19.63,0.67
540,70,19.87,0.19
541,70,21.41,1.63
542,69,20.77,0.0
543,68,29.06,0.0
544,68,18.97,0.0
545,68,18.98,0.46
546,68,26.72,0.62
547,67,21.33,0.01
548,66,28.74,0.26
549,66,22.99,0.18
550,66,19.97,0.0
551,66,18.95,0.33
552,64,18.1,0.0
553,64,31.96,0.2
554,64,17.14,0.11
555,64,14.66,0.06
556,64,14.76,0.31
557,64,18.36,0.14
558,64,20.32,1.11
559,64,21.34,0.14
560,64,17.99,0.3
561,62,29.8,0.16
562,62,25.81,0.0
563,62,22.0,0.02
564,62,37.28,0.56
565,62,20.06,0.0
566,62,24.5,0.4
567,61,19.16,0.0
568,61,22.96,0.15
569,60,15.18,1.62
570,60,16.55,0.1
571,60,13.23,0.0
572,60,24.03,0.47
573,58,20.67,0.53
574,58,24.58,0.14
575,58,15.25,1.28
576,58,25.96,0.09
577,57,20.85,0.0
578,57,15.2,0.0
579,57,37.63,0.0
580,56,19.23,0.0
581,56,27.5,1.46
582,56,19.51,0.27
583,56,17.85,0.09
584,56,18.62,0.0
585,56,21.7,0.0
586,55,19.15,0.27
587,55,21.84,0.42
588,55,21.77,0.53
589,55,28.36,0.0
590,54,13.62,0.22
591,53,28.15,0.79
592,53,27.61,0.0
593,53,39.62,1.08
594,53,14.54,0.23
595,53,17.94,0.0
596,53,16.93,0.28
597,53,19.04,0.0
598,53,22.13,0.26
599,53,23.76,1.04
600,53,32.43,0.96
601,53,22.38,0.0
602,53,20.41,0.51
603,53,19.02,0.13
604,53,15.16,0.21
605,53,17.85,0.13
606,53,16.77,0.0
607,53,16.5,1.58
608,53,18.38,0.6
609,53,21.76,0.28
610,53,17.89,0.26
611,53,14.96,0.0
612,52,18.1,0.0
613,52,17.43,0.48
614,52,20.44,0.52
615,52,19.57,0.04
616,52,17.72,1.13
617,51,19.34,0.04
618,51,17.36,0.16
619,51,17.48,0.31
620,51,15.05,0.0
621,51,18.34,0.61
622,51,14.1,0.06
623,51,16.98,0.2
624,50,15.39,0.0
625,49,14.19,0.0
626,49,11.8,0.0
627,48,19.0,0.44
628,48,16.74,0.0
629,48,16.04,0.1
630,48,16.45,0.15
631,48,15.11,0.0
632,48,15.71,0.0
633,48,16.19,0.04
634,48,19.71,0.0
635,48,18.98,0.0
636,48,18.16,0.0
637,48,32.91,0.06
638,48,32.5,0.0
639,48,30.83,0.25
640,48,35.26,0.0
641,48,20.66,0.0
642,48,18.55,0.71
643,48,17.78,0.19
644,48,20.73,1.23
645,47,19.86,0.0
646,47,25.51,0.0
647,47,30.28,0.3
648,47,15.0,0.3
649,47,20.01,0.09
650,47,22.56,0.15
651,47,18.59,0.21
652,47,16.47,0.0
653,47,17.1,0.15
654,47,15.56,0.0
655,47,12.07,0.0
656,47,21.59,0.11
657,47,24.65,0.47
658,47,28.01,0.09
659,47,14.63,0.0
660,46,19.05,0.0
661,46,17.8,0.02
662,46,16.66,0.28
663,44,28.76,0.34
664,44,23.39,0.09
665,44,25.3,0.3
666,44,20.83,0.0
667,44,24.12,0.55
668,44,22.0,0.57
669,44,20.68,0.55
670,44,15.86,0.0
671,44,24.21,0.0
672,43,22.68,0.0
673,42,31.92,0.64
674,42,22.15,0.0
675,42,28.51,0.0
676,42,37.88,0.45
677,42,30.14,0.36
678,42,23.71,0.12
679,42,25.84,0.0
680,42,19.46,0.0
681,42,21.22,0.5
682,42,34.71,1.07
683,42,32.46,0.02
684,42,15.57,0.33
685,42,16.94,0.0
686,42,15.62,0.0
687,42,23.26,0.31
688,42,22.14,0.93
689,42,24.51,0.0
690,42,20.28,0.0
691,41,19.12,0.0
692,41,19.65,0.05
693,41,16.85,0.66
694,41,14.64,0.24
695,41,20.88,0.0
696,40,23.61,0.08
697,40,17.01,0.25
698,40,61.51,0.22
699,40,18.02,0.0
700,40,21.22,0.0
701,40,20.42,0.48
702,40,18.45,0.12
703,39,24.4,0.0
704,39,19.79,0.0
705,38,22.3,0.13
706,37,16.42,0.05
707,36,15.92,0.17
708,36,17.2,0.0
709,35,16.36,0.0
710,35,17.52,0.0
711,34,19.92,0.12
712,34,21.99,0.21
713,34,27.46,0.21
714,33,22.38,0.27
715,33,16.2,0.0
716,33,12.95,0.0
717,33,23.44,0.27
718,33,20.27,0.06
719,33,25.86,0.18
720,33,30.9,0.0
721,32,32.44,1.06
722,32,21.93,0.0
723,32,15.2,0.22
724,32,21.08,0.0
725,32,15.26,0.0
726,32,20.18,0.0
727,32,22.22,0.78
728,32,25.33,0.0
729,32,32.35,0.0
730,32,25.6,0.38
731,32,36.91,0.41
732,32,23.4,0.0
733,32,31.07,0.62
734,32,17.77,0.0
735,32,26.19,0.0
736,32,32.82,0.19
737,32,27.82,0.0
738,32,25.95,0.19
739,32,27.42,0.06
740,32,85.32,0.19
741,31,24.07,0.03
742,31,17.57,0.0
743,31,18.47,0.0
744,31,23.48,0.06
745,31,17.84,0.0
746,31,23.85,1.42
747,31,29.93,0.0
748,31,27.63,0.0
749,31,22.13,0.0
750,31,18.81,0.0
751,31,15.03,0.0
752,30,28.63,0.0
753,30,38.03,3.73
754,30,31.3,0.13
755,29,31.81,0.0
756,29,33.51,0.0
757,29,20.71,0.0
758,29,31.72,0.0
759,29,28.15,1.0
760,29,29.42,0.07
761,29,56.92,0.0
762,29,34.47,0.69
763,29,24.03,0.0
764,29,22.13,0.0
765,29,20.34,0.1
766,29,28.97,0.48
767,29,39.93,0.17
768,29,17.39,0.24
769,29,29.32,0.0
770,29,37.15,0.14
771,29,30.08,0.1
772,29,28.35,0.0
773,29,23.4,0.34
774,29,27.24,0.62
775,29,48.65,0.0
776,29,45.22,0.0
777,29,23.12,0.1
778,29,40.63,0.0
779,29,98.48,0.0
780,29,43.24,1.76
781,29,27.92,0.0
782,29,64.77,0.59
783,29,45.29,0.0
784,29,36.93,0.0
785,29,43.34,0.31
786,29,39.95,0.0
787,29,40.45,0.0
788,29,30.45,0.48
789,29,43.97,0.0
790,29,34.54,0.0
791,29,29.26,0.17
792,29,54.61,0.0
793,29,19.06,0.28
794,29,26.7,0.07
795,29,21.42,0.0
796,29,17.27,0.97
797,29,18.19,0.0
798,29,15.45,0.83
799,29,18.02,0.0
800,28,22.47,0.0
801,28,17.69,0.0
802,28,17.0,0.0
803,28,12.82,0.0
804,28,15.16,0.5
805,28,14.15,0.0
806,28,18.06,0.21
807,28,15.87,0.11
808,28,15.98,0.0
809,28,26.71,0.0
810,28,14.92,0.0
811,28,15.64,0.0
812,28,20.72,0.0
813,28,33.61,0.0
814,28,16.32,0.18
815,28,28.62,1.04
816,28,32.42,0.11
817,28,13.53,1.21
818,28,15.15,0.11
819,28,16.32,0.0
820,28,22.15,0.0
821,28,20.65,0.0
822,28,18.8,0.0
823,28,34.57,0.0
824,28,16.81,0.75
825,28,18.83,0.32
826,28,22.3,0.36
827,28,19.01,0.0
828,28,25.64,0.07
829,28,19.92,0.11
830,28,27.6,0.0
831,28,19.99,0.11
832,28,22.27,0.0
833,28,17.96,0.0
834,28,26.87,0.0
835,28,27.23,0.0
836,28,22.98,0.0
837,28,21.3,0.07
838,28,17.29,0.0
839,28,24.45,0.0
840,28,18.34,0.96
841,28,18.4,0.0
842,28,17.34,0.0
843,28,19.24,0.0
844,28,19.27,0.0
845,28,18.36,0.0
846,28,27.88,1.57
847,28,22.67,0.18
848,28,10.18,0.25
849,28,10.38,0.0
850,28,15.06,0.0
851,27,10.75,0.22
852,27,15.85,0.59
853,27,21.03,0.0
854,27,14.56,0.0
855,27,14.71,0.0
856,27,18.21,0.78
857,27,17.34,0.0
858,27,9.9,0.0
859,27,19.48,0.0
860,27,16.17,0.07
861,27,14.65,0.0
862,27,19.6,0.0
863,27,15.07,0.41
864,27,18.01,0.0
865,27,22.9,0.52
866,27,16.45,0.11
867,27,13.49,0.15
868,27,19.31,0.0
869,27,11.66,0.0
870,27,18.46,0.22
871,27,11.25,0.0
872,27,10.41,0.0
873,27,14.85,0.37
874,27,15.97,0.04
875,27,17.41,0.0
876,27,11.81,0.44
877,27,8.77,2.41
878,27,15.93,0.0
879,27,20.44,0.19
880,27,19.8,0.22
881,27,19.54,0.0
882,27,14.74,0.0
883,27,14.88,0.0
884,27,8.52,0.0
885,27,8.46,0.0
886,27,14.7,0.44
887,27,17.61,0.0
888,27,17.59,0.0
889,27,14.67,0.0
890,27,11.45,0.0
891,27,10.18,0.44
892,27,13.89,0.0
893,27,11.4,0.0
894,27,13.64,0.11
895,27,12.09,0.0
896,27,11.3,0.52
897,27,18.11,0.0
898,26,18.16,0.0
899,25,11.39,0.04
900,25,11.75,0.0
901,25,26.1,0.0
902,25,10.97,0.0
903,25,11.59,0.0
904,25,17.26,1.56
905,25,15.75,1.32
906,25,14.38,0.0
907,25,14.94,0.0
908,25,14.11,0.24
909,25,20.09,1.0
910,25,29.71,0.0
911,25,13.96,0.0
912,25,12.72,0.0
913,25,11.81,0.0
914,25,12.23,0.08
915,25,15.48,0.16
916,25,21.17,0.24
917,25,15.89,0.0
918,25,12.41,0.0
919,25,9.33,0.52
920,25,15.03,0.0
921,25,16.69,0.0
922,25,20.95,0.0
923,25,11.04,0.28
924,25,10.43,0.04
925,25,9.59,0.0
926,25,7.58,0.0
927,25,7.91,0.0
928,25,27.56,0.28
929,25,17.03,0.92
930,25,28.58,0.24
931,25,25.64,0.64
932,25,26.14,0.0
933,25,25.4,0.0
934,25,18.59,0.0
935,25,19.26,0.0
936,25,21.1,0.0
937,24,28.22,0.0
938,24,23.1,0.08
939,24,23.11,0.0
940,24,27.47,0.5
941,24,19.33,0.29
942,24,20.97,0.0
943,24,23.94,0.0
944,24,29.46,0.46
945,24,18.55,0.0
946,24,16.53,0.0
947,24,24.8,0.0
948,24,22.78,0.0
949,24,27.96,0.75
950,24,25.13,0.0
951,24,17.97,0.0
952,24,19.91,0.0
953,24,20.04,0.0
954,24,21.22,0.0
955,24,17.46,0.04
956,24,15.24,0.0
957,24,14.96,0.0
958,24,17.08,0.0
959,24,13.49,0.0
960,24,24.08,0.0
961,24,29.55,0.96
962,24,20.69,0.71
963,24,24.9,0.0
964,23,12.34,0.0
965,23,11.94,0.0
966,23,13.6,0.0
967,23,17.82,0.26
968,23,11.37,0.0
969,22,16.61,0.0
970,22,12.16,0.0
971,22,19.11,0.0
972,21,25.96,1.19
973,21,16.93,0.0
974,21,17.78,0.0
975,21,15.73,0.0
976,21,18.23,0.0
977,21,23.88,0.29
978,21,24.76,0.0
979,21,13.74,0.48
980,21,12.95,0.0
981,21,17.19,0.0
982,20,23.43,0.0
983,20,17.89,0.0
984,20,20.38,0.25
985,20,11.31,0.35
986,20,15.87,0.0
987,20,20.62,0.0
988,20,11.22,0.4
989,20,15.28,0.95
990,20,15.55,0.0
991,20,15.32,1.75
992,20,16.1,0.0
993,20,24.88,0.6
994,20,17.86,0.0
995,20,15.37,0.0
996,20,16.4,0.35
997,20,15.21,0.0
998,20,32.49,0.0
999,20,17.52,0.0
1000,20,13.29,0.15
1001,20,18.51,0.0
1002,20,11.83,0.0
1003,20,19.1,0.0
1004,20,11.6,1.1
1005,20,15.77,0.0
1006,20,16.88,1.05
1007,20,14.37,0.0
1008,20,9.21,0.0
1009,20,11.17,0.0
1010,20,9.13,0.0
1011,20,25.23,0.0
1012,20,15.64,0.0
1013,20,20.86,0.0
1014,20,22.44,0.0
1015,20,24.65,0.0
1016,20,21.01,0.0
1017,20,12.45,0.1
1018,20,16.68,0.0
1019,20,22.15,0.0
1020,20,11.54,0.0
1021,20,17.8,0.0
1022,20,14.9,0.0
1023,20,23.6,0.0
1024,20,24.36,0.0
1025,19,31.7,0.0
1026,19,19.01,0.05
1027,19,23.04,0.16
1028,19,21.36,0.0
1029,19,11.92,0.0
1030,19,12.39,0.0
1031,19,10.48,1.16
1032,19,12.67,0.0
1033,19,11.49,0.0
1034,19,12.16,0.0
1035,19,9.76,0.0
1036,19,9.7,0.0
1037,19,16.88,0.0
1038,19,10.56,0.0
1039,19,31.07,0.95
1040,19,23.48,2.37
1041,19,20.0,0.26
1042,19,62.29,0.0
1043,19,23.78,0.0
1044,19,23.92,0.26
1045,19,10.73,0.0
1046,19,15.83,0.26
1047,19,22.08,0.0
1048,19,30.79,0.0
1049,19,25.72,0.37
1050,19,18.59,0.0
1051,19,30.69,0.0
1052,19,16.39,0.21
1053,19,12.75,1.11
1054,19,26.14,0.0
1055,19,10.65,0.74
1056,19,15.1,0.0
1057,19,12.6,0.0
1058,19,17.44,0.0
1059,19,26.19,0.0
1060,19,23.95,0.0
1061,19,24.78,0.0
1062,19,29.87,0.0
1063,19,24.8,0.0
1064,19,23.35,0.53
1065,19,42.4,1.42
1066,19,22.53,4.16
1067,19,27.86,0.0
1068,19,24.73,0.0
1069,19,25.43,0.0
1070,19,28.01,0.37
1071,19,36.17,0.0
1072,19,18.82,0.0
1073,19,22.4,0.0
1074,19,20.67,0.0
1075,19,28.99,0.0
1076,19,37.42,0.0
1077,19,35.95,0.58
1078,19,34.82,0.11
1079,19,43.16,0.32
1080,19,24.14,0.0
1081,19,62.58,0.0
1082,19,33.71,0.0
1083,19,34.77,0.0
1084,19,27.08,0.63
1085,19,20.89,0.0
1086,19,18.44,0.0
1087,19,16.05,0.0
1088,19,26.86,0.42
1089,19,14.1,0.53
1090,18,12.07,0.28
1091,18,16.46,0.0
1092,18,18.57,0.0
1093,18,19.92,0.0
1094,18,32.48,0.0
1095,18,16.98,0.0
1096,18,28.7,1.0
1097,18,18.91,0.22
1098,18,19.42,0.06
1099,18,27.72,0.0
1100,18,32.16,0.0
1101,18,18.14,0.06
1102,18,21.82,0.22
1103,18,12.23,0.44
1104,18,17.13,0.0
1105,18,18.67,0.83
1106,18,23.17,0.0
1107,17,20.14,0.0
1108,17,18.78,0.0
1109,17,14.98,0.0
1110,17,13.12,0.0
1111,17,49.98,0.0
1112,17,15.83,0.88
1113,17,46.7,1.35
1114,17,37.05,0.0
1115,17,23.3,0.0
1116,17,19.88,0.35
1117,17,65.77,0.0
1118,17,22.24,0.0
1119,16,45.33,0.0
1120,16,27.99,0.0
1121,16,15.36,0.0
1122,16,29.83,0.25
1123,16,23.51,0.0
1124,16,30.38,0.0
1125,16,34.72,0.0
1126,16,15.07,0.0
1127,16,14.34,0.44
1128,16,13.46,0.0
1129,16,14.85,0.0
1130,16,13.75,0.0
1131,16,13.3,0.31
1132,16,15.05,0.0
1133,16,12.16,0.0
1134,16,9.84,0.0
1135,16,9.35,0.0
1136,16,13.26,0.0
1137,16,10.29,0.44
1138,15,14.57,0.0
1139,15,12.04,0.0
1140,15,13.46,0.0
